id,value
WO,6924286
BT,2509968
ADM,2334541
HO,1643821
C,1445093
PROB,1257849
AIR,707164
FO,679739
E,389416
IR,370788
CO,343627
MH,296711
T,278750
OS,278331
J,273642
FCO,246801
ED,231193
SP,193862
MAF,177567
RG,168920
RAIL,160480
MT,153271
COPY,131657
CAB,131434
COAL,127157
HLG,126099
HCA,104574
AVIA,94822
CP,91679
LAB,89487
PRO,82138
DSIR,78186
SC,77232
AB,72902
PIN,72200
MEPO,70513
WORK,68078
DEFE,58074
STAC,57732
GFM,52891
AN,48833
DO,46897
WARD,45686
TS,45686
DL,43499
ASSI,41384
CUST,38356
INF,37835
ILB,33260
IND,30717
CRES,28524
LCO,28451
PREM,28333
FD,28062
BN,26535
KB,24899
BH,23584
PC,23567
PL,23334
PCOM,23019
FS,22702
POWE,21635
AO,20197
ZSPC,19939
HS,19697
CSC,19519
AT,18406
BD,17737
HW,16859
OD,16679
DPP,15739
MUN,13864
EG,13574
PCAP,13195
AY,12637
LR,11940
BS,11713
FV,11639
SUPP,11555
CRIM,11432
BW,11388
JA,10690
CJ,10406
MINT,10309
LEV,10012
CM,9702
LRRO,9698
DT,8966
ZOS,8822
BA,8817
ES,8755
B,8709
NSC,8363
STAT,7926
DR,7792
EF,7266
ZLIB,7263
AST,7079
EW,6482
UGC,6312
BL,6257
MFQ,6071
CHAR,5912
KV,5848
LT,5830
F,5734
CT,5318
FT,5246
AX,5187
JB,5002
DEL,4927
FG,4882
REQ,4799
COU,4705
ET,4487
DURH,4462
D,4369
MR,4235
CHES,4095
ZPER,4003
LOC,3990
MPH,3800
JS,3739
PMG,3436
CK,3417
PP,3410
AF,3322
DB,3321
CAOG,3315
JUST,3257
ZHL,3098
BK,3017
LC,2832
LO,2802
JV,2783
ACT,2672
BC,2641
DV,2367
NF,2289
PWLB,2258
WA,2253
MPI,2228
BJ,2093
OBS,2048
CL,2034
MPG,2024
MPHH,2004
FEC,1916
CV,1877
MPE,1865
BE,1786
LAR,1745
ZHC,1730
WALE,1715
CX,1677
RW,1595
FR,1544
NDO,1541
ZJ,1510
AM,1484
LS,1395
NATS,1335
HMC,1330
FM,1277
CN,1270
CABE,1251
FJ,1229
JN,1209
EXT,1198
MPK,1140
LM,1136
PV,1074
AP,1037
CY,1029
BF,1023
BM,974
EJ,877
RECO,876
EDG,871
PRIS,832
PJ,828
TITH,816
KN,799
EY,776
DG,764
FH,736
AR,723
HE,723
EM,714
ECG,687
PALA,679
DD,658
CSPR,648
FY,641
SO,623
PSO,614
BP,592
CB,570
NB,563
DM,553
MFC,537
MPII,533
KP,518
MPEE,508
DK,498
MPF,492
RGO,477
JM,462
AJ,445
PH,400
SFO,400
BX,400
QAB,399
MPD,399
MPGG,389
EV,381
PF,359
NK,354
RF,344
PT,342
JC,341
EB,341
MPC,336
ZMAP,334
MPO,306
FN,299
NICO,291
JF,278
HP,275
MF,266
DW,262
HF,259
JE,251
ZBOX,248
CW,227
MPA,227
DY,221
HN,211
EA,208
HX,208
AE,196
MPKK,189
AH,179
JH,176
EH,173
JX,172
A,166
HD,163
MPB,152
KM,151
FB,144
KT,140
NR,139
MPL,137
EP,128
LY,123
BV,122
KR,120
DJ,116
FP,112
FL,110
JL,109
JY,99
PB,94
FW,93
HY,92
KY,89
JW,89
MPQ,84
KF,80
HK,71
MRQ,71
JT,66
DN,64
PEV,64
MPT,62
MPZ,62
HT,53
MPQQ,48
KD,47
LX,45
JR,45
NL,45
LH,45
KX,44
HR,43
HV,43
HA,42
MPAA,40
BR,38
NIA,37
LK,35
MPN,34
FK,33
KC,32
LD,31
KS,29
MPLL,28
JD,22
NV,22
NJ,21
LE,18
LF,17
LJ,16
MRC,16
FA,15
DSA,13
HB,12
MPDD,12
KA,11
MPBB,11
MPCC,11
JP,10
NCC,10
ER,10
MPS,9
KL,8
MPNN,8
POST,8
KW,7
DF,7
MPFF,6
EN,5
NMM,5
PN,5
PD,4
KH,3
NC,3
LP,3
DX,2
KJ,2
LB,2
LN,2
LV,2
NH,2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
